,,,1,,2,,3,,4,,5,,Правильне ім’я
,,,score,Full Name,score,Full Name,score,Full Name,score,Full Name,score,Full Name,Правильне ім’я
1,Abramov Ivan Mykolaievych,text-embedding-004,0.8804483,Ivan Nikolayevich ABRAMOV,0.8134792,Dmytro ABAKUMOV,0.8130876,Valeri Vyacheslavovich ABRAMOV,0.80487657,Mykola Yanovych AZAROV,0.79770046,Ivan Uladzimiravich KUBRAKOU,Ivan Nikolayevich ABRAMOV
39,Abramov Ivan Mykolaievych,gemini-embedding-001,0.96686566,Ivan Nikolayevich ABRAMOV,0.90877974,Ivan Nikolayevich BABICH,0.90724933,Valeri Vyacheslavovich ABRAMOV,0.90044224,Ivan Ivanovich DEMCHENKO,0.89792424,Ivan Ivanovich MELNIKOV,Ivan Nikolayevich ABRAMOV
36,Yvan Abramov,text-embedding-004,0.78528833,Ivan Nikolayevich ABRAMOV,0.7688619,Yuriy Timofeyevich AVERYANOV,0.76066655,Valeri Vyacheslavovich ABRAMOV,0.75844675,YURI BABAEV,0.75259644,Yakov RYBALSKIY,Ivan Nikolayevich ABRAMOV
74,Yvan Abramov,gemini-embedding-001,0.9195606,Ivan Nikolayevich ABRAMOV,0.89484215,Ivan OKOROKOV,0.8882984,Ivan Kirov GENOV,0.88636494,Ivan Yareth ROBLEDO ARREDONDO,0.8852809,IVAN KIREEV,Ivan Nikolayevich ABRAMOV
2,Aleksei Kuzmychev,text-embedding-004,0.921288,Alexey Viktorovich KUZMICHEV,0.8631437,Alexey Aleksandrovich KUPRIYANOV,0.8524451,Aleksandr Yuryevich KUZIN,0.84461445,Aleksey Vladimirovich KURINNIY,0.84225416,Aleksey KRIVORUCHKO,Alexey Viktorovich KUZMICHEV
40,Aleksei Kuzmychev,gemini-embedding-001,0.95839,Alexey Viktorovich KUZMICHEV,0.93519413,ALEKSEY MARYSHEV,0.92599857,Aleksey MOZGOVOY,0.92437816,Aleksey Olegovich CHEKUNKOV,0.92273617,Aleksey Viktorovich LUKASHEV,Alexey Viktorovich KUZMICHEV
3,Alyreza Kashanymer,text-embedding-004,0.840685,Alireza KASHANIMEHR,0.75864184,Amir Ali HAJIZADEH,0.7536907,Mohammad Ilyas KASHMIRI,0.7513424,Alireza AMIN,0.74512213,Ayshat Ramzanovna KADYROVA,Alireza KASHANIMEHR
41,Alyreza Kashanymer,gemini-embedding-001,0.95973426,Alireza KASHANIMEHR,0.92896557,Alireza RAHNAVARD,0.9260042,Alireza ABEDINEJAD,0.9243636,Alireza FADAKAR,0.924155,Alireza Babaei FARSANI,Alireza KASHANIMEHR
4,Aven Petro Olehovych,text-embedding-004,0.85226786,Petr Olegovich AVEN,0.76212996,Elena Osipovna AVDEEVA,0.75040007,Oleg Vladimirovich PETROV,0.7359221,Mikhail Olegovich AVTUKHOV,0.735128,Vyacheslav Anatolyevich PETROV,Petr Olegovich AVEN
42,Aven Petro Olehovych,gemini-embedding-001,0.94123197,Petr Olegovich AVEN,0.9020387,Petro Anatoliyovich ZHURAVEL,0.8963218,Petr SAVCHENKO,0.8882683,Oleg Vladimirovich PETROV,0.8817171,Petr Petrovich MIKLASHEVICH,Petr Olegovich AVEN
5,Avien Petro Olehovych,text-embedding-004,0.803223,Petr Olegovich AVEN,0.7440429,Oleg Vladimirovich PETROV,0.74353045,Elena Osipovna AVDEEVA,0.74026155,Mikhail Olegovich AVTUKHOV,0.736328,Oleh VOLOSHYN,Petr Olegovich AVEN
43,Avien Petro Olehovych,gemini-embedding-001,0.9226687,Petr Olegovich AVEN,0.8896806,Petro Anatoliyovich ZHURAVEL,0.8800318,Andrei Yuvenalyevich PETROV,0.87995124,Petr SAVCHENKO,0.8792256,Oleg Vladimirovich PETROV,Petr Olegovich AVEN
6,Bekhnam Shakhriiari,text-embedding-004,0.92902505,Behnam SHAHRIYARI,0.80371094,Bahram Ali SHAYESTEH,0.7946565,Shahram POURSAFI,0.778132,Behrouz PARSARAD,0.77757156,Hamidreza SHARIFI-TEHRANI,Behnam SHAHRIYARI
44,Bekhnam Shakhriiari,gemini-embedding-001,0.96084857,Behnam SHAHRIYARI,0.9045855,Behzad MOHAMMADI,0.89979684,Behzad MESRI,0.89735544,BEHNAM SHAHRIYARI TRADING COMPANY,0.8935422,Gholam SHAKURI,Behnam SHAHRIYARI
7,Denisov Konstantyn Ivanovych,text-embedding-004,0.9462114,Konstantin Ivanovich DENISOV,0.8355786,Denis Olegovich DEGTYARENKO,0.8283248,Denis Valentinovich KAMYSHEV,0.81719047,Denis Olegovich DERYUSHKIN,0.8153963,Denis MAIDANOV,Konstantin Ivanovich DENISOV
45,Denisov Konstantyn Ivanovych,gemini-embedding-001,0.96140933,Konstantin Ivanovich DENISOV,0.91245335,Kostyantyn Volodymyrovych IVASHCHENKO,0.90859354,Konstantin KULYK,0.9036284,Konstantin Iosifovich KOSACHEV,0.90281105,Denis Igorevich KUZMIN,Konstantin Ivanovich DENISOV
8,Denysov Konstantyn Ivanovych,text-embedding-004,0.90544677,Konstantin Ivanovich DENISOV,0.8168364,Denis Olegovich DEGTYARENKO,0.8152516,Denis Valentinovich KAMYSHEV,0.8097827,Veniamin Ivanovich KONDRATYEV,0.8057091,Kostyantyn Volodymyrovych IVASHCHENKO,Konstantin Ivanovich DENISOV
46,Denysov Konstantyn Ivanovych,gemini-embedding-001,0.9551234,Konstantin Ivanovich DENISOV,0.9135736,Konstantin KULYK,0.9118552,Kostyantyn Volodymyrovych IVASHCHENKO,0.90619636,Konstantin Iosifovich KOSACHEV,0.8977784,Konstantin KUDRYAVTSEV,Konstantin Ivanovich DENISOV
9,Dienisov Konstantyn Ivanovych,text-embedding-004,0.9140842,Konstantin Ivanovich DENISOV,0.8112839,Veniamin Ivanovich KONDRATYEV,0.810371,Denis Olegovich DEGTYARENKO,0.8098001,Denis Valentinovich KAMYSHEV,0.79581195,Denis Olegovich DERYUSHKIN,Konstantin Ivanovich DENISOV
47,Dienisov Konstantyn Ivanovych,gemini-embedding-001,0.9386446,Konstantin Ivanovich DENISOV,0.90908766,Kostyantyn Volodymyrovych IVASHCHENKO,0.90767854,Konstantin KULYK,0.9008355,Konstantin Iosifovich KOSACHEV,0.8954458,Konstantin KUDRYAVTSEV,Konstantin Ivanovich DENISOV
15,Konstantyn Denisov,text-embedding-004,0.9284617,Konstantin Ivanovich DENISOV,0.8246975,Denis Olegovich DEGTYARENKO,0.81857127,Konstantin KUDRYAVTSEV,0.8173127,Denis MAIDANOV,0.8054855,Denis Valentinovich KAMYSHEV,Konstantin Ivanovich DENISOV
53,Konstantyn Denisov,gemini-embedding-001,0.957498,Konstantin Ivanovich DENISOV,0.91675293,Konstantin KULYK,0.91351414,Konstantin KUDRYAVTSEV,0.9095049,Denis Igorevich KUZMIN,0.90669173,Konstantin Iosifovich KOSACHEV,Konstantin Ivanovich DENISOV
16,Konstantyn Denysov,text-embedding-004,0.8861138,Konstantin Ivanovich DENISOV,0.82640576,Konstantin KUDRYAVTSEV,0.8093806,Denis Olegovich DEGTYARENKO,0.8004025,Konstantin KULYK,0.7907889,Denis Valentinovich KAMYSHEV,Konstantin Ivanovich DENISOV
54,Konstantyn Denysov,gemini-embedding-001,0.94866616,Konstantin Ivanovich DENISOV,0.92175305,Konstantin KULYK,0.9158821,Konstantin KUDRYAVTSEV,0.9039691,Konstantin Iosifovich KOSACHEV,0.89761233,Konstantin Albertovich FEDORENKO,Konstantin Ivanovich DENISOV
17,Konstantyn Dienisov,text-embedding-004,0.8910075,Konstantin Ivanovich DENISOV,0.8181044,Konstantin KUDRYAVTSEV,0.79951024,Vladimir Andreyevich KONSTANTINOV,0.7988488,Dmitriy KOMNOV,0.7942963,Dmitry Konstantinovich KISELEV,Konstantin Ivanovich DENISOV
55,Konstantyn Dienisov,gemini-embedding-001,0.9452565,Konstantin Ivanovich DENISOV,0.91546893,Konstantin KULYK,0.91086143,Konstantin KUDRYAVTSEV,0.9024153,Konstantin Iosifovich KOSACHEV,0.9004294,Kostyantyn Volodymyrovych IVASHCHENKO,Konstantin Ivanovich DENISOV
10,Esmail Hani,text-embedding-004,0.8935642,Esmail HAMIDI,0.88025653,Esmail GHANI,0.80657846,Esmail KHATIB,0.8041496,Ehsan MOHAMMADI,0.795361,Hasan Dehghan EBRAHIMI,Esmail GHANI
48,Esmail Hani,gemini-embedding-001,0.9617553,Esmail GHANI,0.9399389,Esma'il AZIZKHANI,0.9365879,Esmail HAMIDI,0.9204483,Esmail KHATIB,0.91377914,Esma'il RAZAVI,Esmail GHANI
11,Esmail Kaani,text-embedding-004,0.85339326,Esmail GHANI,0.83041185,Esmail KHATIB,0.80074483,Esmail HAMIDI,0.7890579,Ehsan MOHAMMADI,0.77665913,Esma'il AZIZKHANI,Esmail GHANI
49,Esmail Kaani,gemini-embedding-001,0.9364482,Esmail GHANI,0.9305168,Esma'il AZIZKHANI,0.91736203,Esmail KHATIB,0.91560197,Esmail HAMIDI,0.91422796,Esma'il RAZAVI,Esmail GHANI
12,Esmail Khaani,text-embedding-004,0.8843598,Esmail GHANI,0.8444974,Esmail KHATIB,0.81934905,Ehsan MOHAMMADI,0.81202865,Esmail HAMIDI,0.79103535,Esma'il AZIZKHANI,Esmail GHANI
50,Esmail Khaani,gemini-embedding-001,0.9525075,Esma'il AZIZKHANI,0.94917,Esmail GHANI,0.930771,Esmail KHATIB,0.9267459,Esmail HAMIDI,0.92030865,Esma'il RAZAVI,Esmail GHANI
37,Эsmayl Kaany,text-embedding-004,0.77416134,Mehmet KAYA,0.7679826,Murat KARAYILAN,0.75234604,Muammer Kuntay DURANSOY,0.7418973,Muhammad Kamal AL-AYY,0.7229421,Abdulaziz KASKARIY,Esmail GHANI
75,Эsmayl Kaany,gemini-embedding-001,0.90647197,Esmail GHANI,0.9061494,Esma'il AZIZKHANI,0.8873557,Esmail HAMIDI,0.88651836,Esma'il RAZAVI,0.88439244,Esmail KHATIB,Esmail GHANI
38,Эsmayl Khaany,text-embedding-004,0.7575393,Hadil SHUAYHANAH,0.75356805,Faysal KHALUF,0.74542564,Khalil JARRAYA,0.742499,Hassan KHALIL,0.74122405,Suhayl Hasan AL-HASAN,Esmail GHANI
76,Эsmayl Khaany,gemini-embedding-001,0.9221554,Esma'il AZIZKHANI,0.9209373,Esmail GHANI,0.9022069,Esmail KHATIB,0.90082896,Esmail HAMIDI,0.8948537,Esma'il RAZAVI,Esmail GHANI
13,Fridman Mykhail Maratovych,text-embedding-004,0.87005675,Mikhail Maratovich FRIDMAN,0.77005976,Mikhail Efimovich FRADKOV,0.75670266,Petr Mikhailovich FRADKOV,0.74669385,Pavel Mikhaylovich FRADKOV,0.7401751,Daniil Vasilievich MARTYNOV,Mikhail Maratovich FRIDMAN
51,Fridman Mykhail Maratovych,gemini-embedding-001,0.97195,Mikhail Maratovich FRIDMAN,0.9014399,Mikhail HRYB,0.89819866,Mikhail Efimovich FRADKOV,0.88854223,Mikhail Olegovich AVTUKHOV,0.88504136,Mikhail Anatolyevich KOVRIGIN,Mikhail Maratovich FRIDMAN
29,Mykhail Fridman,text-embedding-004,0.86051977,Mikhail Maratovich FRIDMAN,0.78234637,Mikhail Efimovich FRADKOV,0.77012306,MIKHAIL BRITNEV,0.7461757,Petr Mikhailovich FRADKOV,0.73909223,Pavel Mikhaylovich FRADKOV,Mikhail Maratovich FRIDMAN
67,Mykhail Fridman,gemini-embedding-001,0.9682605,Mikhail Maratovich FRIDMAN,0.8936678,Mikhail HRYB,0.89254147,Mikhail Efimovich FRADKOV,0.8910701,MIKHAIL BRITNEV,0.886073,Mikhail Olegovich AVTUKHOV,Mikhail Maratovich FRIDMAN
14,Kiriienko Volodymyr Serhiiovych,text-embedding-004,0.8402399,Vladimir Sergeevich KIRIYENKO,0.8310346,Sergei Vladilenovich KIRIYENKO,0.8052158,Dmytro Volodymyrovych KOVALCHUK,0.8048192,Serhiy Mykolayovych CHEREVKO,0.7992157,Serhiy KOZYAKOV,Vladimir Sergeevich KIRIYENKO
52,Kiriienko Volodymyr Serhiiovych,gemini-embedding-001,0.95241094,Vladimir Sergeevich KIRIYENKO,0.9320588,Sergei Vladilenovich KIRIYENKO,0.9147659,Volodymyr Mykolayovych OLIYNYK,0.91113913,Vladimir Vladislavovich KOVALENKO,0.903568,Alexey Viktorovich KORNIYENKO,Vladimir Sergeevich KIRIYENKO
18,Kyryienko Volodymyr Serhiiovych,text-embedding-004,0.84610665,Volodymyr Mykhailovych BOBRYSHEV,0.8339885,Serhiy KOZYAKOV,0.82806456,Volodymyr Mykolayovych OLIYNYK,0.82391506,Dmytro Volodymyrovych KOVALCHUK,0.82188344,Kyrylo Serhiyovych STREMOUSOV,Vladimir Sergeevich KIRIYENKO
